ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436.0,,American Pale Lager,62.889146805077196,0.1652636672596309,,408,10 Barrel Brewing Company,%$Bend,
2,2265.0,Devil's Cup,American Pale Ale (APA),,0.066,,177,,G#ar$y,IN
3,2264.0,,Ame#@@rican IPA,12.0,0.071,,177,,,I#N$
4,2263.0,Sinister,American Double / Imperial IPA,12.0,0.09,,177,18th ??Street Br$ewery,Gary,IN
5,,Sex and Candy,American IPA,71.22409338647024,0.075,,177,18th Street Brewery,Gary,IN
6,12916.522946876385,Black Exodus,Oatmeal Stout,12.0,0.077,,177,18th Street Brewery,Gary,#IN
7,2260.0,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,18th Street Brewery,,IN
8,2259.0,Foreman,,12.0,0.065,,177,18th Street Brewery,Gary,IN
9,2258.0,,American Pale Ale (APA),12.0,0.055,,1027.9050647924341,18th Street Brewery,Gary,IN
10,2131.0,Cone Crusher,American Double / Imperial IPA,36.92905919926858,0.086,,177,18th Street Brewery,Gar$y,IN
11,2099.0,Sophomor%ic$ Saison,Saison / Farmhouse Ale,12.0,0.072,,,18th Street Brewery,Gary,IN
12,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,,177,18t??h Street Brewe#ry,Gary,IN
13,12312.478317085155,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street Brewery,,IN
14,1980.0,Troll Destroyer,Belgian IPA,39.79097562128351,0.085,,177,18th Street Brewery,,I@@N
15,1979.0,Bitter Bitch,Ameri??ca??n Pale Ale (APA),12.0,0.061,60.0,177,18th Street Bre#wery,$Gary,IN
16,2318.0,Ginja Ninja,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,
17,2170.0,Cherried Away,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,
18,2169.0,$Rhubarbarian,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR@@
