ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,,empty,empty,b$irmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,y??es??,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018.0,callahan eye foundation hospital,1720 university blvd#,empty,em#p$ty,,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,,scip-in%f@@-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,,al_scip-inf-1
3,10018.0,callahan eye foundation hospital,1720 university blvd,e$mpty,empty,birmingham,al,35233.0,jefferson,2053258100.0,a$cute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
4,,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingha??#m,al,35233.0,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics we%re stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10018.0,callahan eye foundation hospital,1720 university blvd,e%m$pty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,empty,al_scip-inf-4
6,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,,acute care hospitals,,yes,surgical infec#tion prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018.0,callahan eye foundation hospital,1720 u??niversity bl@@vd,,empty,%bir#mingham,al,,,2053258100.0,acute care hospitals,,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
8,10018.0,callah$a@@n eye foundation hospital,1720 univer$sity blvd,empty,,birmingham,al,35233.0,jefferson,,acute care hospitals,voluntary non-profit - private,y#es,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,empty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffi#eld,al,35660.0,jefferson,,acute care hospitals,government - hospital district or authority,yes,he$art attack,ami-1,heart attack patients given aspirin at arrival,9#7%,33 patients,al_ami-1
10,10019.0,,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferso?$?n,2563864556.0,acute care hospitals,gove??rnment - hospi??tal district or authority,yes,heart attack,ami-2,heart attack patients g??iven aspirin $at discharge,92%,13 patients,al_ami-2
