alpha,beta,gamma,score
0.35,0.65,0.0,0.18582196204793988
0.35,0.2,0.45,0.18567501960393726
0.2,0.35,0.45,0.18527261040358653
0.5,0.35,0.15,0.18458100526004198
0.35,0.35,0.3,0.18435305619542838
0.2,0.2,0.6,0.18393245775915704
0.2,0.8,0.0,0.18322804858179553
0.2,0.5,0.3,0.18321553351097478
0.5,0.5,0.0,0.18249447602389884
0.2,0.65,0.15,0.18248810992645226
0.35,0.5,0.15,0.18202077746052175
0.8,0.2,0.0,0.1812020183844729
0.5,0.2,0.3,0.180388601069554
0.65,0.2,0.15,0.1802780261739545
0.65,0.35,0.0,0.1801469955723084
