src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
ua,2011-12-01-UA-2708-EWR-CLT,Thu- Dec 1 2:55 PM,Thu- Dec 1 2:55 PM,A37,Thu- Dec 1 4:53 PM,Thu- Dec 1 4:44 PM,C5
airtravelcenter,2011-12-01-UA-2708-EWR-CLT,,12/1/11 3:04 PM (-05:00),,,12/1/11 4:22 PM (-05:00),
myrateplan,2011-12-01-UA-2708-EWR-CLT,,12/1/11 3:04 PM (-05:00),,,12/1/11 4:22 PM (-05:00),
helloflight,2011-12-01-UA-2708-EWR-CLT,,12/1/11 3:04 PM (-05:00),,,12/1/11 4:22 PM (-05:00),
flytecomm,2011-12-01-UA-2708-EWR-CLT,,12/1/11 3:04 PM (-05:00),,,12/1/11 4:22 PM (-05:00),
flights,2011-12-01-UA-2708-EWR-CLT,,2011-12-01 02:52 PM,37,,2011-12-01 04:44 PM,C5
businesstravellogue,2011-12-01-UA-2708-EWR-CLT,,2011-12-01 02:52 PM,37,,2011-12-01 04:44 PM,C5
flylouisville,2011-12-01-UA-2708-EWR-CLT,,2011-12-01 02:52 PM,37,,2011-12-01 04:44 PM,C5
flightstats,2011-12-01-UA-2708-EWR-CLT,2011-12-01 2:55 PM,2011-12-01 2:52 PM,,2011-12-01 4:53 PM,2011-12-01 4:44 PM,
quicktrip,2011-12-01-UA-2708-EWR-CLT,2011-12-01 2:55 PM,2011-12-01 2:52 PM,,2011-12-01 4:53 PM,2011-12-01 4:44 PM,
flightview,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
panynj,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
gofox,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
foxbusiness,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
allegiantair,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
boston,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
travelocity,2011-12-01-UA-2708-EWR-CLT,Dec 01 - 2:55pm,Dec 01 - Contact Airline,Not provided by airline,Dec 01 - 4:53pm,Dec 01 - Contact Airline,Not provided by airline
orbitz,2011-12-01-UA-2708-EWR-CLT,2:55pDec 1,2:52pDec 1, -,4:53pDec 1,4:44pDec 1, -
weather,2011-12-01-UA-2708-EWR-CLT,2011-12-01 02:55 PM,,,2011-12-01 04:53 PM,,
usatoday,2011-12-01-UA-2708-EWR-CLT,,3:04 PMDec 01,,,4:24 PMDec 01,
ua,2011-12-01-UA-3925-IAD-ORF,Thu- Dec 1 8:41 AM,Thu- Dec 1 8:42 AM,A2G,Thu- Dec 1 9:54 AM,Thu- Dec 1 9:43 AM,--
flightexplorer,2011-12-01-UA-3925-IAD-ORF,,12/1/2011 9:01AM EST,,,12/1/2011 9:39AM EST,
airtravelcenter,2011-12-01-UA-3925-IAD-ORF,,12/1/11 9:00 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
myrateplan,2011-12-01-UA-3925-IAD-ORF,,12/1/11 9:00 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
helloflight,2011-12-01-UA-3925-IAD-ORF,,12/1/11 9:00 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
flytecomm,2011-12-01-UA-3925-IAD-ORF,,12/1/11 9:00 AM (-05:00),,,12/1/11 9:29 AM (-05:00),
flightaware,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41AM EST,2011-12-01 08:51AM EST, A2A ,2011-12-01 09:34AM EST,2011-12-01 09:44AM EST,
wunderground,2011-12-01-UA-3925-IAD-ORF,2011-12-01 08:41AM EST,2011-12-01 08:51AM EST, A2A ,2011-12-01 09:34AM EST,2011-12-01 09:44AM EST,
flights,2011-12-01-UA-3925-IAD-ORF,,2011-12-01 08:42 AM,A2,,2011-12-01 09:43 AM,
businesstravellogue,2011-12-01-UA-3925-IAD-ORF,,2011-12-01 08:42 AM,A2,,2011-12-01 09:43 AM,
flylouisville,2011-12-01-UA-3925-IAD-ORF,,2011-12-01 08:42 AM,A2,,2011-12-01 09:43 AM,
