ID,age,income,saving,segment
1,48,95500,60900,D 高管
2,64,53800,72900,E 退休
3,32,49100,26300,C 中产
4,25,15500,2000,A 学生
5,52,70900,59800,D 高管
6,48,55000,39600,D 高管
7,48,83100,41700,D 高管
8,33,30000,11100,B 初入职场
9,21,29500,7400,A 学生
10,35,55000,28300,C 中产
11,45,81800,56800,D 高管
12,20,11800,5900,A 学生
13,43,69100,66100,D 高管
14,18,22800,3800,A 学生
15,53,90700,54600,D 高管
16,48,98700,67600,D 高管
17,70,49700,81100,E 退休
18,58,97300,68900,D 高管
19,44,52900,28300,C 中产
20,42,55200,15400,C 中产
21,30,38600,13300,B 初入职场
22,27,41800,11400,B 初入职场
23,60,38700,64700,E 退休
24,64,55400,63800,E 退休
25,28,52000,10100,B 初入职场
26,21,17600,5300,A 学生
27,63,63300,64700,E 退休
28,57,53900,76500,E 退休
29,46,48700,21200,C 中产
30,48,84000,50600,D 高管
31,24,17900,2400,A 学生
32,37,56100,22700,C 中产
33,17,17700,3500,A 学生
34,19,14300,3500,A 学生
35,40,65500,51300,D 高管
36,34,40000,8700,B 初入职场
37,26,27000,1900,A 学生
38,33,46500,12000,B 初入职场
39,20,33200,4600,A 学生
40,24,43300,15300,B 初入职场
41,33,35100,9300,B 初入职场
42,26,45100,14700,B 初入职场
43,63,64600,75800,E 退休
44,33,28700,8700,B 初入职场
45,31,29300,10800,B 初入职场
46,32,41900,14400,B 初入职场
47,55,105000,54500,D 高管
48,46,89000,75400,D 高管
49,31,31100,17900,B 初入职场
50,48,93300,53800,D 高管
51,54,89600,48100,D 高管
52,35,46600,23400,C 中产
53,52,80600,54300,D 高管
54,32,31100,12100,B 初入职场
55,62,44000,71500,E 退休
56,60,52700,69800,E 退休
57,29,30200,10700,B 初入职场
58,35,44300,12300,B 初入职场
59,56,84800,50900,D 高管
60,23,16500,4600,A 学生
61,52,79300,48500,D 高管
62,27,25300,8000,A 学生
63,30,19500,1000,A 学生
64,46,100800,56300,D 高管
65,45,67900,19500,C 中产
66,19,20700,3500,A 学生
67,22,30300,0,A 学生
68,64,51700,61700,E 退休
69,18,19800,3000,A 学生
70,53,74300,51900,D 高管
71,26,37200,9100,B 初入职场
72,40,49300,23500,C 中产
73,50,100500,57500,D 高管
74,51,70700,50500,D 高管
75,35,42900,34200,C 中产
76,71,70000,65100,E 退休
77,35,18000,8700,B 初入职场
78,23,33000,8000,B 初入职场
79,32,31200,17100,B 初入职场
80,60,48600,75900,E 退休
81,39,58700,32000,C 中产
