ID,age,income
1,47,81100
2,61,35700
3,45,57600
4,25,15500
5,56,95700
6,45,88100
7,54,98300
8,26,40400
9,21,29500
10,36,49000
11,51,85100
12,20,11800
13,49,76500
14,18,22800
15,49,79500
16,47,82400
17,59,45200
18,52,91600
19,37,62000
20,29,58900
21,34,35500
22,32,29800
23,67,47200
24,63,52700
25,35,31200
26,21,17600
27,65,48700
28,63,47900
29,36,54400
30,56,105000
31,24,17900
32,49,53200
33,17,17700
34,19,14300
35,48,74100
36,40,41800
37,26,27000
38,31,39600
39,20,33200
40,32,25000
41,31,40200
42,26,27900
43,56,48300
44,34,40000
45,28,36200
46,23,38900
47,52,98400
48,53,76200
49,26,36700
50,44,59000
51,53,102600
52,38,49000
53,50,93200
54,38,38100
55,61,44200
56,63,40200
57,32,33100
58,27,42600
59,57,79300
60,23,16500
61,42,66800
62,27,25300
63,30,19500
64,48,95700
65,43,55700
66,19,20700
67,22,30300
68,59,48100
69,18,19800
70,51,72400
71,29,29300
72,37,67200
73,54,79200
74,55,89200
75,41,55400
76,60,57100
77,22,43700
78,31,24000
79,25,38800
80,64,58600
81,33,52900
82,34,64800
83,16,8000
84,33,56800
85,24,25900
86,31,52000
87,29,29700
88,25,36700
89,19,25800
90,20,22500
91,60,97000
92,34,20100
93,30,28200
94,48,80900
95,16,21800
96,17,20600
97,42,50400
98,32,63300
99,61,58600
100,27,34400
101,51,76700
102,27,22900
103,30,26800
104,52,91700
105,61,48700
106,53,79800
107,34,57800
108,17,20600
109,58,99600
110,39,28800
111,49,63600
112,57,59000
113,24,39100
114,70,55000
115,57,45600
116,30,18800
117,47,66300
118,63,55800
119,51,68200
120,52,85700
121,27,22100
122,36,63900
123,53,88500
124,42,45700
125,43,56000
126,60,54000
127,16,20000
128,37,57900
129,46,82700
130,65,70000
131,35,54500
132,30,35400
133,40,51300
134,37,36500
135,59,58200
136,63,65400
137,41,55800
138,43,56900
139,43,59600
140,25,12300
141,34,40100
142,34,73700
143,41,54700
144,35,50400
145,46,81400
146,67,54300
147,36,52300
148,25,36400
149,21,23600
150,31,43400
151,60,49200
152,39,26400
153,50,84100
154,39,60300
155,56,54700
156,60,56600
157,50,75000
158,40,40700
159,60,65000
160,34,27500
161,59,87000
162,37,52500
163,23,19700
164,16,9800
165,19,16300
166,29,50500
167,60,53500
168,69,54700
169,38,59500
170,20,19800
171,26,41100
172,55,76900
173,59,50400
174,23,17100
175,31,52000
176,60,32200
177,45,62500
178,16,26400
179,58,54700
180,39,61800
181,46,85800
182,24,16600
183,63,37000
184,62,54600
185,25,52000
186,57,48600
187,65,48700
188,37,68800
189,24,31100
190,23,22100
191,25,28100
192,46,56900
193,58,87800
194,40,61300
195,57,56200
196,20,30800
197,60,49800
198,60,43900
199,24,22300
200,56,70000
201,21,25700
202,42,63000
203,22,15100
204,46,69000
205,47,59000
206,47,71400
207,56,54000
208,41,59600
209,37,26400
210,37,57200
211,48,61400
212,66,52600
213,20,22500
214,22,31400
215,60,61600
216,33,33200
217,16,18900
218,66,61200
219,40,50400
220,26,10100
221,43,61900
222,66,34300
223,41,80900
224,39,51600
225,16,16400
226,71,68600
227,26,29200
228,37,39500
229,59,72600
230,43,72100
231,23,18400
232,62,58700
233,56,48200
234,59,55200
235,46,81400
236,16,8000
237,27,21200
238,31,32500
239,65,49400
240,49,89600
241,59,50200
242,47,81700
243,42,58900
244,20,14400
245,57,71600
246,33,47300
247,50,70200
248,42,101600
249,69,50800
250,30,11600
251,32,43700
252,25,35000
253,44,63500
254,21,18700
255,44,65800
256,26,22100
257,16,19500
258,31,37900
259,51,88700
260,26,17300
261,32,44100
262,19,20400
263,59,43000
264,16,31000
265,33,39100
266,38,45400
267,60,60300
268,31,67400
269,63,45200
270,64,63500
271,27,18700
272,24,8000
273,41,56800
274,46,64400
275,67,48400
276,50,88900
277,36,55300
278,24,28000
279,24,21800
280,46,79500
281,63,61300
282,21,22500
283,40,50400
284,65,53900
285,52,61600
286,62,48500
287,40,62000
288,33,55300
289,32,49800
290,33,35700
291,23,39100
292,56,76700
293,38,52500
294,61,55000
295,29,18500
296,50,92600
297,30,41900
298,34,35500
299,64,52100
300,36,40500
