ID,age,income,saving
1,48.0,95500.0,60900.0
2,64.0,53800.0,433853.72110466164
3,32.0,49100.0,26300.0
4,137.70597002750716,15500.0,11421.357946988188
5,52.0,70900.0,59800.0
6,48.0,242146.2373595524,39600.0
7,175.8330320095558,83100.0,41700.0
8,33.0,30000.0,11100.0
9,21.0,29500.0,7400.0
10,35.0,55000.0,28300.0
11,45.0,81800.0,56800.0
12,20.0,11800.0,5900.0
13,43.0,,66100.0
14,18.0,107833.83814991415,3800.0
15,53.0,90700.0,54600.0
16,48.0,98700.0,67600.0
17,,49700.0,81100.0
18,58.0,,
19,,52900.0,28300.0
20,42.0,55200.0,15400.0
21,,38600.0,13300.0
22,27.0,41800.0,11400.0
23,60.0,38700.0,
24,317.41836019629886,280008.5239004171,63800.0
25,28.0,52000.0,10100.0
26,21.0,17600.0,5300.0
27,63.0,63300.0,64700.0
28,57.0,53900.0,76500.0
29,46.0,48700.0,21200.0
30,48.0,84000.0,50600.0
31,24.0,17900.0,2400.0
32,,56100.0,22700.0
33,,17700.0,3500.0
34,19.0,14300.0,3500.0
35,40.0,65500.0,51300.0
36,34.0,,8700.0
37,26.0,27000.0,
38,33.0,46500.0,12000.0
39,20.0,33200.0,
40,24.0,,15300.0
41,33.0,35100.0,9300.0
42,26.0,45100.0,14700.0
43,63.0,64600.0,75800.0
44,33.0,,8700.0
45,31.0,29300.0,10800.0
46,178.0567707038985,,14400.0
47,,536419.5396513717,54500.0
48,,,75400.0
49,31.0,31100.0,17900.0
50,48.0,517891.4253098099,
51,54.0,89600.0,
52,35.0,46600.0,23400.0
53,,80600.0,54300.0
54,32.0,31100.0,12100.0
55,62.0,44000.0,71500.0
56,60.0,52700.0,
57,29.0,30200.0,10700.0
58,35.0,44300.0,12300.0
59,56.0,84800.0,50900.0
60,23.0,16500.0,14092.625521018816
61,171.4723458476638,79300.0,48500.0
62,109.81725340803374,25300.0,8000.0
63,,70223.34653636743,
64,46.0,,56300.0
65,45.0,67900.0,19500.0
66,19.0,20700.0,3500.0
67,22.0,30300.0,0.0
68,64.0,51700.0,61700.0
69,74.60113165851887,19800.0,3000.0
70,53.0,,51900.0
71,,173033.350039175,9100.0
72,216.43679293110523,49300.0,23500.0
73,50.0,100500.0,57500.0
74,51.0,70700.0,50500.0
75,35.0,42900.0,34200.0
76,71.0,300283.7940286319,65100.0
77,35.0,18000.0,8700.0
78,,,8000.0
79,32.0,31200.0,17100.0
80,60.0,48600.0,75900.0
81,,,32000.0
82,45.0,52800.0,24000.0
83,16.0,8000.0,
84,42.0,62200.0,
85,143.587802565617,41200.0,11500.0
86,40.0,37900.0,11900.0
87,27.0,,13300.0
88,31.0,52000.0,
89,92.19777154667526,25800.0,
90,20.0,22500.0,0.0
91,52.0,105000.0,38100.0
92,125.81079563648005,40300.0,58419.82819852496
93,26.0,196590.35811910342,14200.0
94,51.0,79500.0,36300.0
95,16.0,21800.0,3900.0
96,17.0,20600.0,5392.6580328608525
97,39.0,66000.0,24000.0
98,48.0,49500.0,22000.0
99,59.0,60300.0,69700.0
100,30.0,29800.0,9600.0
101,54.0,79700.0,
102,22.0,38200.0,11200.0
103,30.0,26800.0,3700.0
104,57.0,,48500.0
105,60.0,239081.21015687464,66100.0
106,51.0,79300.0,62300.0
107,,60100.0,180184.6212930145
108,,20600.0,
109,,72800.0,48400.0
110,26.0,36600.0,8700.0
111,46.0,,28500.0
112,61.0,,85500.0
113,33.0,163665.63803947915,16600.0
114,61.0,51400.0,63600.0
115,62.0,60600.0,74900.0
116,86.95816177574937,175625.90865720724,11900.0
117,41.0,332898.396855855,23900.0
118,66.0,44000.0,80700.0
119,48.0,,76000.0
120,203.65026344129802,381106.0666747462,52100.0
121,27.0,125517.51563612539,4700.0
122,31.0,,27500.0
123,40.0,86100.0,46400.0
124,,63100.0,28300.0
125,35.0,56600.0,18300.0
126,232.151846761338,41800.0,276597.5579220383
127,16.0,20000.0,2205.979232328707
128,37.0,67900.0,18000.0
129,48.0,,45700.0
130,63.0,49100.0,80400.0
131,121.12958671254566,46000.0,26700.0
132,30.0,30300.0,15400.0
133,40.0,,
134,31.0,37500.0,
135,344.49607491159577,266477.3662475556,72200.0
136,58.0,48500.0,347059.8445192303
137,,50700.0,33300.0
138,47.0,61600.0,22000.0
139,45.0,75000.0,192231.70343010852
140,,,5800.0
141,33.0,29500.0,8000.0
142,36.0,56300.0,31900.0
143,40.0,339191.56065496325,25300.0
144,,73500.0,27100.0
145,178.43256579114967,65100.0,50700.0
146,210.28383309714243,59500.0,72000.0
147,39.0,,20400.0
148,31.0,22800.0,
149,21.0,23600.0,17678.49861639757
150,35.0,26800.0,20400.0
151,57.0,,
152,25.0,39700.0,6400.0
153,,,38100.0
154,38.0,52600.0,28700.0
155,,,95000.0
156,63.0,58700.0,72900.0
157,192.6583403581765,79400.0,46500.0
158,34.0,32300.0,12500.0
159,52.0,86800.0,
160,25.0,110273.58409972832,7100.0
161,49.0,77700.0,62400.0
162,45.0,47400.0,33300.0
163,23.0,19700.0,900.0
164,16.0,,1600.0
165,19.0,16300.0,4000.0
166,29.0,,18200.0
167,68.0,48400.0,76800.0
168,67.0,43400.0,280828.7856426324
169,43.0,54800.0,32500.0
170,20.0,19800.0,1400.0
171,34.0,38700.0,11400.0
172,41.0,82600.0,63500.0
173,64.0,55700.0,94600.0
174,23.0,,21357.76444880684
175,130.8836432057431,36000.0,14500.0
176,64.0,56500.0,71700.0
177,43.0,70000.0,
178,16.0,26400.0,500.0
179,67.0,45900.0,81700.0
180,123.93057565739139,56700.0,41400.0
181,51.0,,
182,,75713.35711150417,4600.0
183,61.0,,76600.0
184,59.0,63600.0,56200.0
185,40.0,35900.0,8700.0
186,,52200.0,76300.0
187,65.0,60400.0,64300.0
188,,,
189,95.0187529633049,35600.0,54354.76707897763
190,,,35071.869566440364
191,26.0,34100.0,9800.0
192,35.0,,29900.0
193,49.0,82100.0,56400.0
194,54.0,100800.0,
195,,55000.0,58800.0
196,20.0,30800.0,3100.0
197,60.0,64400.0,68300.0
198,60.0,,73300.0
199,24.0,22300.0,400.0
200,,69000.0,
201,21.0,84245.16550887188,4200.0
202,38.0,55000.0,
203,22.0,,1600.0
204,197.78750673624629,97900.0,
205,39.0,,23400.0
206,48.0,92900.0,226371.00829376225
207,60.0,63600.0,88500.0
208,49.0,43400.0,
209,117.0551770916143,39000.0,15000.0
210,35.0,192705.677734678,31800.0
211,39.0,65500.0,
212,,41200.0,408596.44414429815
213,20.0,74315.40309834656,3200.0
214,151.0437929611398,127849.0742290164,11100.0
215,,48500.0,63900.0
216,29.0,25400.0,11900.0
217,16.0,18900.0,4900.0
218,66.0,60500.0,81900.0
219,,56100.0,31500.0
220,133.1224712503998,,1100.0
221,41.0,228799.10463691884,29400.0
222,71.0,40100.0,87900.0
223,51.0,377214.7733709905,58900.0
224,203.85647812659312,61000.0,21600.0
225,16.0,16400.0,3400.0
226,58.0,47900.0,54800.0
227,,33300.0,13200.0
228,33.0,,14400.0
229,262.42617745093753,80700.0,
230,52.0,,42000.0
231,69.96539675290622,,4300.0
232,,53400.0,69500.0
233,61.0,44700.0,
234,70.0,52200.0,64500.0
235,48.0,,70300.0
236,16.0,8000.0,6095.772652527448
237,27.0,21200.0,6800.0
238,166.49138236071133,27100.0,15900.0
239,63.0,48300.0,88000.0
240,142.33835081800086,376008.76115435315,76100.0
241,67.0,286511.570583735,62700.0
242,60.0,86700.0,41500.0
243,,57300.0,31800.0
244,20.0,14400.0,1400.0
245,54.0,82700.0,40000.0
246,40.0,371121.7092821833,24600.0
247,50.0,88500.0,70000.0
248,,78600.0,254495.5941587364
249,59.0,,64400.0
250,30.0,54568.95384079417,200.0
251,35.0,19400.0,12900.0
252,25.0,,3700.0
253,44.0,62700.0,22000.0
254,21.0,104615.2651823781,1200.0
255,,,38400.0
256,,25100.0,10000.0
257,16.0,19500.0,1500.0
258,32.0,27600.0,12400.0
259,48.0,76900.0,63600.0
260,26.0,,
261,36.0,120689.35141702641,8400.0
262,19.0,20400.0,2800.0
263,56.0,,
264,16.0,127857.18306347214,3900.0
265,171.9635805594312,,14500.0
266,,188364.4758360359,
267,65.0,51700.0,83800.0
268,49.0,69000.0,38700.0
269,70.0,47800.0,66400.0
270,66.0,56900.0,73800.0
271,27.0,18700.0,3600.0
272,24.0,,1200.0
273,41.0,70200.0,78057.72061779973
274,47.0,,68100.0
275,63.0,59900.0,
276,49.0,69600.0,73000.0
277,42.0,52400.0,21700.0
278,24.0,28000.0,10501.484159539474
279,24.0,,2500.0
280,47.0,82600.0,68200.0
281,65.0,54200.0,63600.0
282,,22500.0,5600.0
283,31.0,72700.0,
284,212.98884704827248,54100.0,
285,,,30100.0
286,67.0,57500.0,74700.0
287,,48500.0,22200.0
288,39.0,47500.0,27900.0
289,41.0,64600.0,
290,30.0,31900.0,9700.0
291,33.0,23600.0,
292,175.62529881952224,,
293,,,70315.27074791015
294,65.0,,61800.0
