ID,age,income
1,47.0,81100.0
2,61.0,35700.0
3,45.0,57600.0
4,25.0,
5,56.0,95700.0
6,45.0,88100.0
7,54.0,98300.0
8,97.6146974995138,40400.0
9,21.0,132654.12995792783
10,36.0,49000.0
11,51.0,85100.0
12,75.40525375324519,11800.0
13,49.0,76500.0
14,18.0,22800.0
15,49.0,302602.4080448514
16,47.0,
17,59.0,45200.0
18,52.0,91600.0
19,37.0,62000.0
20,29.0,58900.0
21,34.0,35500.0
22,32.0,29800.0
23,67.0,47200.0
24,352.6901395722234,
25,117.5147291829725,31200.0
26,,17600.0
27,65.0,48700.0
28,63.0,47900.0
29,36.0,54400.0
30,56.0,105000.0
31,24.0,
32,49.0,53200.0
33,84.11489774261779,17700.0
34,19.0,14300.0
35,48.0,235853.30049270872
36,,41800.0
37,,27000.0
38,31.0,146131.52748998726
39,20.0,33200.0
40,32.0,25000.0
41,31.0,40200.0
42,,27900.0
43,308.08916581601875,48300.0
44,126.71434833012296,
45,28.0,36200.0
46,102.45746516828851,
47,52.0,98400.0
48,53.0,76200.0
49,26.0,36700.0
50,44.0,59000.0
51,,387480.23308659816
52,38.0,49000.0
53,,
54,38.0,38100.0
55,219.95030802369985,44200.0
56,63.0,40200.0
57,32.0,33100.0
58,27.0,42600.0
59,,
60,23.0,64351.06400081394
61,,66800.0
62,27.0,146254.7807649738
63,30.0,
64,48.0,95700.0
65,153.02510308778773,
66,104.82402904795373,20700.0
67,22.0,30300.0
68,316.63747142341117,48100.0
69,18.0,19800.0
70,51.0,72400.0
71,29.0,29300.0
72,37.0,67200.0
73,54.0,79200.0
74,55.0,
75,,
76,,57100.0
77,22.0,
78,31.0,24000.0
79,25.0,38800.0
80,64.0,237711.10392888187
81,33.0,52900.0
82,149.77089787687666,
83,16.0,
84,33.0,56800.0
85,24.0,
86,31.0,52000.0
87,29.0,29700.0
88,97.05530081577743,36700.0
89,19.0,25800.0
90,20.0,22500.0
91,60.0,97000.0
92,34.0,20100.0
93,30.0,28200.0
94,48.0,339758.77846769016
95,16.0,98929.89828507182
96,17.0,84820.22490265094
97,42.0,
98,32.0,63300.0
99,61.0,272738.4341190762
100,,
101,51.0,76700.0
102,,22900.0
103,30.0,
104,52.0,
105,231.4741773212343,
106,,265160.8181621014
107,34.0,57800.0
108,70.23026326087374,20600.0
109,58.0,99600.0
110,39.0,28800.0
111,49.0,63600.0
112,57.0,59000.0
113,24.0,39100.0
114,70.0,55000.0
115,57.0,45600.0
116,113.80176017159955,18800.0
117,47.0,
118,63.0,55800.0
119,207.8984779627709,68200.0
120,52.0,85700.0
121,,74359.229114463
122,36.0,63900.0
123,53.0,
124,42.0,
125,231.68103782031577,56000.0
126,60.0,54000.0
127,94.85507379416862,20000.0
128,,57900.0
129,,82700.0
130,232.66122659869936,70000.0
131,35.0,295146.13484952966
132,30.0,35400.0
133,40.0,51300.0
134,37.0,36500.0
135,245.9467796735622,58200.0
136,63.0,248669.8016952711
137,41.0,55800.0
138,,56900.0
139,43.0,59600.0
140,25.0,
141,34.0,40100.0
142,34.0,73700.0
143,41.0,54700.0
144,35.0,50400.0
145,46.0,
146,67.0,
147,36.0,284022.1850484973
148,25.0,36400.0
149,21.0,23600.0
150,,43400.0
151,304.3340927717859,49200.0
152,39.0,26400.0
153,50.0,346337.23357493366
154,39.0,60300.0
155,212.73423061406763,54700.0
156,60.0,56600.0
157,50.0,365119.06304749154
158,40.0,40700.0
159,60.0,65000.0
160,34.0,27500.0
161,59.0,87000.0
162,,52500.0
163,23.0,
164,16.0,9800.0
165,19.0,94719.36311319421
166,,50500.0
167,60.0,53500.0
168,69.0,273878.29214070755
169,38.0,59500.0
170,108.75221479038557,19800.0
171,26.0,151249.8954122247
172,55.0,76900.0
173,59.0,50400.0
174,23.0,100054.71125260569
175,115.58646345581369,52000.0
176,60.0,32200.0
177,45.0,
178,78.82434299557318,26400.0
179,296.9634393457853,54700.0
180,39.0,61800.0
181,46.0,85800.0
182,138.2684568212326,
183,63.0,
184,62.0,
185,25.0,168042.05298771814
186,,48600.0
187,65.0,48700.0
188,37.0,68800.0
189,24.0,
190,,22100.0
191,,104953.37295180728
192,46.0,56900.0
193,58.0,87800.0
194,40.0,
195,,56200.0
196,,30800.0
197,,
198,60.0,43900.0
199,24.0,22300.0
200,204.95012072698253,367481.11706022633
201,92.81049833468373,77900.80093969914
202,42.0,
203,112.23665231793349,15100.0
204,206.30758283540695,69000.0
205,150.01331533291685,59000.0
206,177.42250121261605,71400.0
207,56.0,54000.0
208,41.0,59600.0
209,37.0,26400.0
210,37.0,57200.0
211,48.0,61400.0
212,66.0,52600.0
213,20.0,
214,,31400.0
215,60.0,61600.0
216,33.0,143960.4300419658
217,16.0,18900.0
218,,61200.0
219,40.0,50400.0
220,128.82193714081995,
221,43.0,
222,66.0,34300.0
223,167.08975882089678,80900.0
224,39.0,51600.0
225,16.0,16400.0
226,71.0,68600.0
227,122.75873659197154,29200.0
228,37.0,39500.0
229,240.20837990098363,
230,226.2473606472771,72100.0
231,23.0,18400.0
232,62.0,58700.0
233,56.0,214598.09558995374
234,,
235,,81400.0
236,16.0,8000.0
237,,21200.0
238,111.52783917372815,32500.0
239,65.0,49400.0
240,49.0,89600.0
241,59.0,206201.2304374453
242,47.0,81700.0
243,42.0,183837.07159846878
244,,14400.0
245,57.0,71600.0
246,33.0,47300.0
247,207.55623866422502,70200.0
248,42.0,101600.0
249,69.0,
250,30.0,11600.0
251,,43700.0
252,25.0,
253,44.0,63500.0
254,69.47821326913387,18700.0
255,44.0,65800.0
256,26.0,
257,,19500.0
258,31.0,217653.87521714234
259,256.5895827487478,88700.0
260,26.0,17300.0
261,32.0,44100.0
262,19.0,20400.0
263,190.5006619004565,
264,16.0,31000.0
265,33.0,39100.0
266,38.0,45400.0
267,60.0,60300.0
268,,67400.0
269,277.8385373123249,183096.98030088734
270,64.0,
271,27.0,18700.0
272,24.0,8000.0
273,196.0696226698539,208216.8541343455
274,259.4884846169134,64400.0
275,67.0,48400.0
276,,
277,154.37915931367036,55300.0
278,,28000.0
279,,
280,46.0,79500.0
281,267.15418515107547,61300.0
282,21.0,22500.0
283,,50400.0
284,65.0,53900.0
285,52.0,61600.0
286,62.0,48500.0
287,40.0,318419.72006052267
288,33.0,55300.0
289,32.0,49800.0
290,33.0,188319.64532504196
291,23.0,195919.95666983287
292,183.06724094705515,76700.0
293,38.0,
294,61.0,205145.83391847718
