ID,age,income,segment
1,48,85300,D
2,61,41800,E
3,45,19612911705877,A
4,24,18100,A
5,,40510718729646,D
6,46,90900,D
7,309,99000,??@@D
8,,196370.89832895948,B
9,21,30100,A
10,37,55000,C
11,50,88500,D
12,21,15000,??A
13,50,81600,D
14,19,24400,A
15,189.48660119538104,84000,D
16,48,,D
17,60,48900,E
18,52,,D#
19,38,,C
20,32,23929584856287,C
21,119.26936277204769,38300,#B
22,144.49091861249573,34100,A
23,66,50400,E
24,63,54500,E
25,35,35200,B
26,22,19900,A
27,65,51500,E
28,63,50900,E
29,38,59100,C
30,55,108000.0,D
31,,20200,A
32,48,259212.007562384,C
33,18,20000,A
34,108,95070.0001600327,A
35,157.28221459910208,79700,D
36,39,43100,A
37,25,28000,A
38,,,B
39,20,32000,A??
40,33,30500,B
41,32,41900,B
42,,,B%$
43,58,51200,E
44,34,41800,B
45,30,38900,B
46,25,40900,B
47,51,99200,D
48,52,81400,D
49,28,39300,B
50,46,67600,D
51,52,102500.0,A
52,172.39685600861105,,C
53,50,95000,D
54,37,40300,B
55,62,48100,E
56,63,45100,E
57,113.25505980627236,117417.75526795376,B
58,28,43700,B
59,56,83800,D
60,22,,A$
61,261.77469921488847,73900,??D
62,26,26500,A
63,28,,A
64,48,96900,D
65,43,60000,C
66,20,22600,A
67,22,30900,A
68,60,51100,A
69,19,21800,A
70,51,78300,D
71,30,33700,#B
72,38,68700,C
73,53,34636547442241,A
74,54,91700,D
75,42,59800,C
76,61,57800,E
77,25,44500,B
78,118.68067122932072,29700,B
79,27,40800,B
80,64,59000,E
81,192.90226913144647,58000,C
82,36,66900,C
83,16,41380.04311381952,??@@A
84,35,60900,A
85,26,31100,B
86,32,50000,B
87,,34000,A
88,27,39300,B
89,20,26900,A
90,20,131020.82423301256,##A
91,237.5666621162073,98000,D
92,148.66013246238674,,B
93,123.85467480910091,32900,B
94,48,85100,D
95,16,23600,%A
96,54.27224033271949,22500,A
97,43,56000,C
98,34,,C
99,61,59000,E
100,29,37600,B
101,50,81800,D
102,29,28900,B
103,29,27800,$#A
104,52,93800,D
105,62,,@??@E
106,273.79884519302453,84200,A
107,188.47733528935487,26317347238324,C
108,18,22600,A
109,277.09252642878783,100000.0,D
110,176.44053878677673,33400,B
111,48,,C
112,59,59200,E
113,108.17435420248783,221057.13660334784,B
114,68,56200,A
115,59,49200,E
116,31,25800,A
117,47,67900,C
118,,56900,E
119,,75000,D
120,51,88900,D
121,26,23800,A
122,38,66100,C
123,,,D
124,42,52600,C
125,43,216287.32886556248,C
126,60,190490.83404916435,E
127,17,22000,A
128,223,61700,C
129,47,86600,D??
130,65,67600,E
131,37,59100,C
132,31,38300,B
133,41,56700,C
134,37,39100,B
135,60,58600,E
136,63,64100,E
137,42,60100,C
138,44,60900,C
139,43,62900,C
140,25,15400,A
141,34,41800,B
142,36,73600,C
143,41,59300,C
144,,56000,C
145,46,85500,D
146,66,55700,E
147,37,57500,A
148,27,,$B
149,92.09174939544936,25100,A
150,32,44300,B
151,61,,E
152,39,148025.31548495192,B
153,50,87700,D
154,40,63500,C
155,58,56000,A
156,61,57500,E
157,50,,D
158,39,42300,B
159,58,72400,D
160,34,32400,B
161,57,90000,D
162,38,57600,C
163,23,21800,A
164,17,60013.93752003066,A
165,20,18800,A
166,32,56100,C
167,,55100,E
168,68,56000,E
169,39,251711.1656900744,C
170,20,21800,A
171,28,42600,B
172,54,81900,D
173,60,,E
174,23,19500,A
175,32,,B
176,61,39200,E
177,45,65100,C
178,17,27500,A
179,59,56000,E
180,40,64600,C
181,47,89100,D
182,24,19100,A
183,63,,A
184,62,,E
185,27,50000,B
186,59,51500,E
187,65,51500,E
188,38,,C
189,26,35100,A
190,23,23800,A
191,27,32900,@@@@B
192,46,191985.8070536044,C
193,56,90600,D
194,42,69500,D
195,58,,A
196,20,,A
197,60,52400,E
198,60,48000,E
199,24,24000,A
200,,76400,D@@@@
201,21,26900,A
202,,65500,C
203,22,17800,A
204,47,75600,D
205,46,62500,C
206,48,77500,D
207,,,E
208,42,62900,C
209,37,17046825400928,B
210,,61100,C
211,,64300,C
212,65,54400,E
213,20,24200,A
214,98.17024600735306,35300,B
215,61,61200,E
216,33,36700,@@B
217,,21000,A
218,65,60900,E
219,41,56000,C
220,25,13500,A
221,43,64700,C
222,65,220145.38801166895,E
223,43,85100,$D@@
224,191.6345020036956,56900,A
225,16,18900,A
226,69,66500,E
227,27,18932513345135,B
228,36,41400,B
229,58,78500,A
230,45,31106186503505,D
231,113.59549475292644,20600,A
232,,59000,E
233,58,51100,A
234,60,56400,E
235,47,85600,D
236,16,8000.0,A
237,26,23000,A
238,,36100,B
239,65,52000,A
240,49,92100,D
241,236.47797346592944,52700,E
242,48,85700,D
243,43,62500,C??
244,21,17200,$A@@
245,55,77700,D
246,35,,C??#
247,,76500,D??$
248,44,101700.0,D
249,263,53100,E
250,28,14800,%A
251,33,,B
252,24,32000,A
253,44,65900,C
254,21,20900,A
255,222.3280871883296,67600,C
256,28,28300,B
257,16,21600,A
258,32,40100,B
259,51,91400,D??
260,25,19600,A#
261,32,44800,B
262,19,22400,A
263,60,47200,E
264,16,31400,A
265,33,,B
266,39,52300,C
267,61,60200,E
268,34,,C
269,63,48900,E
270,,62600,E
271,26,20800,A
272,23,10500,A
273,41,60900,C
274,144.34267546879346,71900,D
275,66,51300,E
276,50,91500,D
277,38,59700,A
278,23,28900,A
279,23,23500,A
280,47,41871898366469,D
281,324.14249469888847,61000,E
282,21,24100,A
283,40,56100,C
284,65,55400,E
285,52,69700,D
286,62,51400,E
287,41,64800,C
288,35,59700,A
289,34,55600,C
290,34,,B
291,94.8500089527202,41100,B
292,55,81800,D
293,40,57600,A
294,207.53142374052945,56300,E
295,28,20700,A
296,,449458.50932003657,D
297,31,43100,B
298,34,,A
299,64,54100,E
300,135.67242119117256,42100,B
