ID,age,income
1,nan,85300.0
2,61.0,41800.0
3,45.0,362560.3114037266
4,nan,18100.0
5,55.0,96900.0
6,239.1744232172477,90900.0
7,53.0,99000.0
8,28.0,42100.0
9,21.0,30100.0
10,37.0,55000.0
11,219.17542334398377,88500.0
12,94.4252648252142,67190.08926771728
13,50.0,nan
14,19.0,24400.0
15,50.0,84000.0
16,48.0,nan
17,60.0,48900.0
18,306.74018779772763,93600.0
19,38.0,356604.27860048506
20,nan,62400.0
21,34.0,38300.0
22,32.0,34100.0
23,66.0,nan
24,63.0,54500.0
25,35.0,35200.0
26,22.0,nan
27,65.0,51500.0
28,63.0,50900.0
29,38.0,59100.0
30,55.0,108000.0
31,23.0,120454.0299779744
32,48.0,58200.0
33,18.0,100866.2155651176
34,20.0,17100.0
35,48.0,79700.0
36,39.0,43100.0
37,25.0,28000.0
38,104.91679189765809,41400.0
39,105.06333036502285,123977.17049848428
40,33.0,30500.0
41,32.0,41900.0
42,28.0,32700.0
43,58.0,51200.0
44,34.0,41800.0
45,30.0,38900.0
46,nan,40900.0
47,51.0,99200.0
48,52.0,nan
49,28.0,39300.0
50,46.0,67600.0
51,52.0,nan
52,39.0,55000.0
53,nan,95000.0
54,221.05499279489155,40300.0
55,62.0,48100.0
56,195.082500348723,201433.6520133462
57,33.0,36600.0
58,28.0,nan
59,56.0,83800.0
60,22.0,19000.0
61,44.0,73900.0
62,26.0,26500.0
63,28.0,79142.05400378145
64,48.0,96900.0
65,194.83083847534664,60000.0
66,20.0,122083.27335810078
67,22.0,143663.4730871562
68,nan,51100.0
69,19.0,21800.0
70,51.0,78300.0
71,30.0,nan
72,38.0,68700.0
73,172.12964813779868,83800.0
74,54.0,91700.0
75,42.0,198268.6177017968
76,61.0,57800.0
77,25.0,44500.0
78,32.0,29700.0
79,27.0,40800.0
80,64.0,59000.0
81,154.68218147887566,58000.0
82,36.0,66900.0
83,16.0,10100.0
84,35.0,60900.0
85,26.0,31100.0
86,nan,50000.0
87,30.0,34000.0
88,27.0,39300.0
