row_pos,orig_index
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,13
13,14
14,16
15,17
16,18
17,19
18,20
19,21
20,23
21,24
22,26
23,27
24,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,45
42,46
43,48
44,49
45,51
46,52
47,53
48,54
49,55
50,56
51,58
52,59
53,60
54,61
55,62
56,63
57,64
58,65
59,66
60,67
61,68
62,69
63,71
64,72
65,73
66,74
67,75
68,76
69,77
70,78
71,79
72,80
73,81
74,82
75,83
76,84
77,85
78,86
79,87
80,88
81,89
82,90
83,91
84,92
85,93
86,94
87,96
88,97
89,99
90,100
91,101
92,103
93,104
94,106
95,107
96,108
97,109
98,110
99,111
100,112
101,113
102,114
103,115
104,116
105,117
106,118
107,119
108,120
109,121
110,122
111,123
112,124
113,126
114,127
115,128
116,129
117,130
118,132
119,133
120,134
121,135
122,136
123,137
124,138
125,139
126,140
127,141
128,142
129,143
130,144
131,145
132,146
133,148
134,149
135,150
136,152
137,153
138,154
139,155
140,156
141,157
142,158
143,159
144,160
145,161
146,162
147,163
148,164
149,166
150,168
151,169
152,171
153,172
154,173
155,174
156,175
157,176
158,178
159,179
160,180
161,181
162,182
163,183
164,184
165,185
166,186
167,187
168,188
169,190
170,191
171,192
172,193
173,196
174,197
175,198
176,199
177,200
178,201
179,202
180,203
181,204
182,205
183,206
184,207
185,208
186,209
187,210
188,211
189,212
190,213
191,214
192,215
193,216
194,217
195,218
196,219
197,220
198,221
199,222
200,223
201,224
202,225
203,226
204,227
205,228
206,229
207,230
208,231
209,232
210,233
211,234
212,235
213,236
214,237
215,238
216,239
217,240
218,241
219,243
220,245
221,246
222,247
223,248
224,249
225,250
226,251
227,252
228,254
229,255
230,256
231,257
232,258
233,260
234,261
235,262
236,263
237,264
238,265
239,266
240,267
241,268
242,269
243,270
244,271
245,272
246,273
247,275
248,276
249,277
250,278
251,279
252,280
253,281
254,282
255,283
256,284
257,285
258,286
259,287
260,288
261,289
262,290
263,292
264,293
265,294
266,295
267,296
268,297
269,298
270,299
