orig_index,ID,age,income,cluster
0,1,48.0,85300.0,6
1,2,61.0,41800.0,6
2,3,95455315.0,61500.0,6
3,4,24.0,80786.14182101442,6
4,5,55.0,96900.0,6
5,6,46.0,90900.0,6
6,7,53.0,99000.0,6
7,8,28.0,42100.0,6
8,9,21.0,30100.0,6
9,10,37.0,55000.0,6
10,11,50.0,88500.0,6
11,12,21.0,15000.0,6
12,13,50.0,81600.0,6
13,14,19.0,24400.0,6
14,15,50.0,84000.0,6
15,16,48.0,86300.0,6
16,17,60.0,48900.0,6
17,18,52.0,93600.0,6
18,19,38.0,64700.0,6
19,20,32.0,62400.0,6
20,21,34.0,38300.0,6
21,22,32.0,34100.0,6
22,23,276.917503786419,50400.0,6
23,24,63.0,54500.0,6
24,25,35.0,35200.0,6
25,26,22.0,19900.0,6
26,27,65.0,51500.0,6
27,28,63.0,50900.0,6
28,29,78161861.0,59100.0,6
29,30,55.0,108000.0,6
30,31,23.0,20200.0,6
31,32,48.0,58200.0,6
32,33,18.0,20000.0,6
33,34,20.0,54576.61054405696,6
34,35,48.0,79700.0,6
35,36,39.0,43100.0,6
36,37,25.0,28000.0,6
37,38,32.0,41400.0,6
38,39,20.0,32000.0,6
39,40,33.0,93847887398.0,3
40,41,34288815033.0,41900.0,10
41,42,28.0,32700.0,6
42,43,58.0,807.015049,6
43,44,34.0,41800.0,6
44,45,30.0,38900.0,6
45,46,25.0,21027253766.0,11
46,47,51.0,434.69302,6
47,48,53437948.0,81400.0,6
48,49,28.0,39300.0,6
49,50,46.0,67600.0,6
50,51,52.0,102500.0,6
51,52,39.0,80630093763.0,1
52,53,50.0,95000.0,6
53,54,37.0,25125531526.0,11
54,55,62.0,48100.0,6
55,56,63.0,45100.0,6
56,57,33.0,36600.0,6
57,58,28.0,43700.0,6
58,59,56.0,83800.0,6
59,60,22.0,19000.0,6
60,61,44.0,73900.0,6
61,62,26.0,26500.0,6
62,63,28.0,21600.0,6
63,64,48.0,96900.0,6
64,65,43.0,60000.0,6
65,66,20.0,22600.0,6
66,67,22.0,30900.0,6
67,68,60.0,51100.0,6
68,69,19.0,21800.0,6
69,70,51.0,78300.0,6
70,71,30.0,606.682206,6
71,72,3145385023.0,68700.0,6
72,73,53.0,83800.0,6
73,74,54.0,150.540934,6
74,75,42720824628.0,59800.0,2
75,76,99153785.0,57800.0,6
76,77,25.0,44500.0,6
77,78,32.0,29700.0,6
78,79,27.0,40800.0,6
79,80,64.0,59000.0,6
80,81,35.0,58000.0,6
81,82,36.0,66900.0,6
82,83,16.0,10100.0,6
83,84,35.0,508.114372,6
84,85,26.0,99073505776.0,3
85,86,32.0,50000.0,6
86,87,30.0,34000.0,6
87,88,27.0,39300.0,6
88,89,20.0,54628345196.0,5
89,90,20.0,24200.0,6
90,91,58.0,98000.0,6
91,92,34111786537.0,26800.0,10
92,93,31.0,32900.0,6
93,94,48.0,85100.0,6
94,95,16.0,23600.0,6
95,96,18.0,22500.0,6
96,97,43.0,56000.0,6
97,98,34.0,65700.0,6
98,99,61.0,99.759316,6
99,100,29.0,40509799117.0,4
100,101,50.0,81800.0,6
101,102,96.5194658380842,28900.0,6
102,103,29.0,27800.0,6
103,104,52.0,622.043181,6
104,105,62.0,51600.0,6
105,106,52.0,84200.0,6
106,107,36.0,61600.0,6
107,108,18.0,22600.0,6
108,109,56.0,100000.0,6
109,110,38.0,33400.0,6
110,111,34352857346.0,84.258382,10
111,112,59.0,59200.0,6
112,113,26.0,41100.0,6
113,114,68.0,56200.0,6
114,115,46387667.0,49200.0,6
115,116,31.0,25800.0,6
116,117,47.0,743.234599,6
117,118,63.0,56900.0,6
118,119,51.0,75000.0,6
119,120,51.0,88900.0,6
120,121,26.0,80505.98625332973,6
121,122,62002977.0,66100.0,6
122,123,53.0,91200.0,6
123,124,42.0,52600.0,6
124,125,43.0,60200.0,6
125,126,60.0,55500.0,6
126,127,17.0,22000.0,6
127,128,39.0,85245413854.0,1
128,129,47.0,86600.0,6
129,130,65.0,67600.0,6
130,131,37.0,59100.0,6
131,132,31.0,38300.0,6
132,133,41.0,56700.0,6
133,134,37.0,39100.0,6
134,135,60.0,25262472907.0,11
135,136,63.0,64100.0,6
136,137,42.0,60100.0,6
137,138,44.0,60900.0,6
138,139,43.0,62900.0,6
139,140,25.0,15400.0,6
140,141,34.0,41800.0,6
141,142,36.0,73600.0,6
142,143,13732926938.0,59300.0,6
143,144,21462787.0,56000.0,6
144,145,46.0,85500.0,6
145,146,90422398.0,55700.0,6
146,147,37.0,57500.0,6
147,148,27.0,39000.0,6
148,149,21.0,25100.0,6
149,150,32.0,44300.0,6
150,151,61.0,51900.0,6
151,152,39.0,31500.0,6
152,153,50.0,87700.0,6
153,154,40.0,422.675785,6
154,155,58.0,56000.0,6
155,156,61.0,57500.0,6
156,157,50.0,80400.0,6
157,158,39.0,42300.0,6
158,159,58.0,72400.0,6
159,160,34.0,32400.0,6
160,161,57.0,90000.0,6
161,162,38.0,57600.0,6
162,163,20456966303.0,21800.0,12
163,164,17.0,13200.0,6
164,165,20.0,18800.0,6
165,166,32.0,56100.0,6
166,167,22505005043.0,71988944244.0,15
167,168,68.0,46.492317,6
168,169,39.0,62900.0,6
169,170,20.0,21800.0,6
170,171,28.0,42600.0,6
171,172,54.0,519.453142,6
172,173,60.0,52800.0,6
173,174,23.0,19500.0,6
174,175,32.0,50000.0,6
175,176,61.0,39200.0,6
176,177,45.0,65100.0,6
177,178,17.0,27500.0,6
178,179,59.0,56000.0,6
179,180,40.0,59523318446.0,5
180,181,80649768.0,89100.0,6
181,182,24.0,19100.0,6
182,183,59573707.0,42800.0,6
183,184,62.0,56000.0,6
184,185,27.0,50000.0,6
185,186,59.0,498.117617,6
186,187,69750354.0,51500.0,6
187,188,38.0,842.436938,6
188,189,26.0,35100.0,6
189,190,23.0,23800.0,6
190,191,27.0,32900.0,6
191,192,46.0,878.117153,6
192,193,56.0,90600.0,6
193,194,42.0,69500.0,6
194,195,58.0,57200.0,6
195,196,75187439666.0,31200.0,0
196,197,60.0,52400.0,6
197,198,60.0,48000.0,6
198,199,24.0,24000.0,6
199,200,55.0,76400.0,6
200,201,21.0,26900.0,6
201,202,69259094806.0,65500.0,0
202,203,3018080608.0,17800.0,6
203,204,47.0,75600.0,6
204,205,14606247.0,62500.0,6
205,206,48.0,77500.0,6
206,207,58.0,55500.0,6
207,208,42.0,62900.0,6
208,209,37.0,31600.0,6
209,210,38.0,257265.724583352,6
210,211,59012238552.0,64300.0,14
211,212,65.0,54400.0,6
212,213,20.0,36982827894.0,4
213,214,25.0,35300.0,6
214,215,31786369503.0,61200.0,10
215,216,55021003075.0,36700.0,14
216,217,16.0,21000.0,6
217,218,65.0,60900.0,6
218,219,41.0,56000.0,6
219,220,25.0,13500.0,6
220,221,8643422016.0,64700.0,6
221,222,65.0,40700.0,6
222,223,43.0,85100.0,6
223,224,95940030041.0,56900.0,9
224,225,16.0,18900.0,6
225,226,69.0,66500.0,6
226,227,27.0,33600.0,6
227,228,36.0,41400.0,6
228,229,58.0,78500.0,6
229,230,45.0,78100.0,6
230,231,66609178439.0,20600.0,0
231,232,63.0,58.475408,6
232,233,58.0,51100.0,6
233,234,60.0,56400.0,6
234,235,66904472603.0,85600.0,0
235,236,16.0,8000.0,6
236,237,26.0,23000.0,6
237,238,32.0,36100.0,6
238,239,65.0,52000.0,6
239,240,49.0,92100.0,6
240,241,60.0,52700.0,6
241,242,48.0,85700.0,6
242,243,43.0,62500.0,6
243,244,21.0,17200.0,6
244,245,55.0,77700.0,6
245,246,35.0,96837140128.0,3
246,247,50.0,76500.0,6
247,248,9565183683.0,101700.0,6
248,249,67.0,53100.0,6
249,250,81595901405.0,81803.53297244725,7
250,251,13767218185.0,44500.0,6
251,252,24.0,32000.0,6
252,253,44.0,65900.0,6
253,254,21.0,20900.0,6
254,255,81961897062.0,67600.0,7
255,256,59000087617.0,28300.0,14
256,257,16.0,21600.0,6
257,258,48368817165.0,40100.0,2
258,259,51.0,91400.0,6
259,260,25.0,19600.0,6
260,261,32.0,44800.0,6
261,262,19.0,22400.0,6
262,263,60.0,47200.0,6
263,264,16.0,31400.0,6
264,265,33.0,41100.0,6
265,266,39.0,450.156569,6
266,267,61.0,60200.0,6
267,268,34.0,68800.0,6
268,269,63.0,70252344175.0,8
269,270,64.0,62600.0,6
270,271,81656717301.0,20800.0,7
271,272,23.0,10500.0,6
272,273,41.0,60900.0,6
273,274,47.0,537.78895,6
274,275,66.0,327.186549,6
275,276,50.0,91500.0,6
276,277,88532041126.0,59700.0,16
277,278,23.0,28900.0,6
278,279,23.0,51286610318.0,5
279,280,47.0,84000.0,6
280,281,63.0,61000.0,6
281,282,21.0,24100.0,6
282,283,40.0,56100.0,6
283,284,65.0,55400.0,6
284,285,52.0,69700.0,6
285,286,62.0,51400.0,6
286,287,41.0,9808051266.0,13
287,288,35.0,59700.0,6
288,289,38235206.0,55600.0,6
289,290,34.0,38500.0,6
290,291,26.0,41100.0,6
291,292,55.0,81800.0,6
292,293,40.0,57600.0,6
293,294,61.0,56300.0,6
294,295,28.0,64002.36630374916,6
295,296,50.0,94500.0,6
296,297,31.0,43100.0,6
297,298,34.0,38400.0,6
298,299,64.0,324.911998,6
299,300,36.0,42100.0,6
