trial_number,n_clusters,linkage,metric,combined_score,silhouette,davies_bouldin,sse,n_merge_steps,h_max,intra_dist_mean,inter_dist_mean,ratio_intra_inter,trial_duration_sec
0,12,single,euclidean,0.7631350282668966,0.5075512606484577,0.2959554165952711,201.06652655111074,265,1.4882077318433538,0.9752483109504557,3.691763977971857,0.2641686512922647,0.04494524002075195
1,11,single,manhattan,0.7252610370681095,0.406879434547862,0.34088399500624256,261.74964903916594,265,2.0730925497395596,1.0719087540580163,3.5380025775027844,0.3029700319818011,0.051088571548461914
2,11,complete,cosine,0.6047013723603032,0.3579397417472683,0.81412021166315,45.24018102340449,265,1.9999999997949733,0.2846466655419363,1.6649605543087942,0.17096300858607183,0.04002666473388672
4,7,single,euclidean,0.7399190704335173,0.41161918407894454,0.2935795923445133,431.0013844531304,265,1.4882077318433538,1.3437065442896339,3.8979386579109336,0.3447223422980794,0.04163813591003418
5,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.043978214263916016
7,14,average,cosine,0.5482546769042205,0.35719550700845043,1.1346512055694542,43.92389617160602,265,1.4463886161327888,0.27731042137568684,1.681064616539088,0.16496119104953744,0.02800774574279785
8,9,complete,manhattan,0.7022718522867794,0.5398774087708232,0.5349279058060153,47.34506423775715,265,9.157103344342225,0.513557575185876,2.7720422624582937,0.18526325595420728,0.022269725799560547
9,12,complete,cosine,0.5853711356158727,0.3238441815619859,0.8835180482434177,45.05732141670066,265,1.9999999997949733,0.2872691833390887,1.6577910984244253,0.17328430802405548,0.0215911865234375
10,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.029903888702392578
11,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04729342460632324
12,8,average,manhattan,0.7326148363051633,0.5458351962328427,0.4280909463622446,59.33215024360995,265,5.5590194032302165,0.5460946264873715,2.8723867104207477,0.1901187693516342,0.0463712215423584
