orig_index,ID,age,income,cluster
0,1,48.0,85300.0,0
1,2,61.0,41800.0,0
2,3,43.0,61500.0,0
3,4,24.0,56345.26525241637,0
4,5,55.0,96900.0,0
5,6,46.0,56000.0,0
6,7,53.0,99000.0,0
7,8,28.0,42100.0,0
8,9,21.0,30100.0,0
9,10,37.0,55000.0,0
10,11,43.0,88500.0,0
11,12,21.0,15000.0,0
12,13,50.0,81600.0,0
13,14,19.0,24400.0,0
14,15,50.0,56000.0,0
15,16,48.0,86300.0,0
16,17,60.0,48900.0,0
17,18,52.0,93600.0,0
18,19,203.19824547273743,64700.0,1
19,20,32.0,56000.0,0
20,21,34.0,38300.0,0
21,22,32.0,56000.0,0
22,23,66.0,175870.33132686635,0
23,24,63.0,167215.39525234426,0
24,25,35.0,35200.0,0
25,26,22.0,19900.0,0
26,27,65.0,56000.0,0
27,28,63.0,50900.0,0
28,29,38.0,59100.0,0
29,30,243.5640287051897,108000.0,1
30,31,23.0,56000.0,0
31,32,48.0,56000.0,0
32,33,18.0,20000.0,0
33,34,20.0,17100.0,0
34,35,182.96081306831545,358383.0547235808,6
35,36,43.0,43100.0,0
36,37,25.0,28000.0,0
37,38,32.0,41400.0,0
38,39,20.0,143120.81683624597,0
39,40,33.0,30500.0,0
40,41,32.0,41900.0,0
41,42,28.0,182658.6666723918,0
42,43,58.0,51200.0,0
43,44,43.0,41800.0,0
44,45,30.0,208857.78877275577,0
45,46,25.0,56000.0,0
46,47,272.8878565997155,99200.0,1
47,48,52.0,56000.0,0
48,49,28.0,39300.0,0
49,50,46.0,67600.0,0
50,51,52.0,102500.0,0
51,52,39.0,55000.0,0
52,53,50.0,56000.0,0
53,54,37.0,233290.43620189696,0
54,55,62.0,56000.0,0
55,56,63.0,45100.0,0
56,57,33.0,56000.0,0
57,58,28.0,43700.0,0
58,59,43.0,83800.0,0
59,60,22.0,19000.0,0
60,61,183.07197482195645,56000.0,1
61,62,26.0,26500.0,0
62,63,43.0,21600.0,0
63,64,48.0,56000.0,0
64,65,43.0,56000.0,0
65,66,20.0,22600.0,0
66,67,22.0,30900.0,0
67,68,60.0,51100.0,0
68,69,19.0,21800.0,0
69,70,51.0,78300.0,0
70,71,30.0,33700.0,0
71,72,38.0,68700.0,0
72,73,53.0,83800.0,0
73,74,54.0,91700.0,0
74,75,42.0,59800.0,0
