step,n_clusters,merge_distance,sse_total,sse_ratio
1,299,0.0,0.0,0.0
2,298,0.0,0.0,0.0
3,297,0.0,-2.7755575615628914e-17,-4.625929269271486e-20
4,296,0.0,0.0,0.0
5,295,0.0,-5.551115123125783e-17,-9.251858538542972e-20
6,294,0.0,-1.1102230246251565e-16,-1.8503717077085944e-19
7,293,0.0,-1.1102230246251565e-16,-1.8503717077085944e-19
8,292,0.0,-3.3306690738754696e-16,-5.551115123125783e-19
9,291,0.0,-3.3306690738754696e-16,-5.551115123125783e-19
10,290,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
11,289,0.0,-4.440892098500626e-16,-7.401486830834377e-19
12,288,0.0,-4.440892098500626e-16,-7.401486830834377e-19
13,287,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
14,286,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
15,285,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
16,284,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
17,283,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
18,282,0.0,-2.220446049250313e-16,-3.7007434154171887e-19
19,281,0.0,-2.3592239273284576e-16,-3.9320398788807625e-19
20,280,0.0,-2.498001805406602e-16,-4.163336342344337e-19
21,279,0.0,-2.498001805406602e-16,-4.163336342344337e-19
22,278,0.0,-2.498001805406602e-16,-4.163336342344337e-19
23,277,0.0,-2.498001805406602e-16,-4.163336342344337e-19
24,276,0.0,-2.498001805406602e-16,-4.163336342344337e-19
25,275,0.0,-2.498001805406602e-16,-4.163336342344337e-19
26,274,0.0,-2.7755575615628914e-16,-4.625929269271486e-19
27,273,0.0017470524417699529,2.034794822580732e-06,3.39132470430122e-09
28,272,0.0017470524417699806,3.560890939613426e-06,5.934818232689043e-09
29,271,0.0034941048835399058,9.6652754082438e-06,1.6108792347073003e-08
30,270,0.0034941048835399058,1.576965987684642e-05,2.62827664614107e-08
31,269,0.0034941048835399058,2.187404434539353e-05,3.645674057565588e-08
32,268,0.0034941048835399613,2.7978428814079415e-05,4.663071469013236e-08
33,267,0.005241157325309859,4.1713293868400614e-05,6.952215644733435e-08
34,266,0.005241157325309886,5.5448158922583035e-05,9.241359820430506e-08
35,265,0.005241157325309942,6.91830239769875e-05,1.1530503996164583e-07
36,264,0.0069882097670798116,0.00012005289454855572,2.0008815758092622e-07
37,263,0.0069882097670798116,0.0001444704324229107,2.4078405403818446e-07
38,262,0.008735262208849792,0.0001826228353516146,3.0437139225269104e-07
39,261,0.010482314650619717,0.00038203272799222643,6.367212133203774e-07
40,260,0.010482314650619731,0.0004369721882095112,7.282869803491854e-07
41,259,0.010482314650619745,0.000491911648426796,8.198527473779934e-07
42,258,0.010482314650619745,0.0005468511086440808,9.114185144068013e-07
43,257,0.012229367092389642,0.0006216298183842339,1.0360496973070565e-06
44,256,0.01222936709238967,0.0008251093006705068,1.375182167784178e-06
